"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","5","1","1","2.666992","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","7","2","26.993706","0","254"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","1","1","4.537180","0","43"
"/ControlRig/M_Manip.M_Manip","0","8","2","1","4.185816","0","34"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","1","1","3.442519","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","1.849934","0","11"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","53","13","6","28.582367","0","245"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","68","1","1","202.485107","0","590"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","1","1","2.528285","0","17"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","1","1","58.022465","0","667"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","127","1","1","93.689735","0","1277"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","617","2","1","373.206573","0","18678"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","1","1","1.580622","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","1","1","1.654127","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","35","7","1","17.153399","0","360"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","4","1","2.902349","0","4"
"","0","1","0","1","0.000000","3","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","1","1","17.674843","0","229"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","23","3","1","15.901554","0","125"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","9","1","1","5.983345","0","30"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","21","1","1","10.487767","0","148"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","12","1","1","7.616207","0","54"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","54","1","1","40.911736","0","420"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","23","1","1","16.907028","0","172"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","58","1","1","52.136284","0","624"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","84","1","1","75.399788","0","846"
